,mass,RMR,TMRmin,Teu,Tlc,Ttormin,Ceu,Ct,S,ttormax,teu,WR,CR,rEWL,mrPd,aPd,rPd,pMass.i,pMass,pFly,pLean,pFat
mylu,7.775362319,2.615414283,0.001827831,35,32,5,0.2638,0.055,0.1728,792,0.75,48,32.16,0.182596225,1.4,0.21,1.525,0.043,0.007,0.5,0.532376514,0.215992544
epfu,15.45,3.126281098,0.053110948,35,32,2,0.2638,0.055,0.171,792,0.75,90,60.3,0.06742713,1.4,0.21,1.525,0.043,0.007,0.5,0.227400216,0.112405609
myve,14.42490421,3.075203392,0.003895152,35,32,8,0.2638,0.055,0.171,792,0.75,50,33.5,0.155509392,1.4,0.21,1.525,0.043,0.007,0.5,0.434099179,0.179534649
coto,9.813432836,2.788611596,0.007370526,35,32,5,0.2638,0.055,0.171,792,0.75,91.2,61.104,0.131342186,1.4,0.21,1.525,0.043,0.007,0.5,0.539254753,0.121969582
pesu,6.668253968,2.501134391,0.005710307,35,32,5,0.2638,0.055,0.171,792,0.75,,,0.158202305,1.4,0.21,1.525,0.043,0.007,0.5,0.477255415,0.271732921
myth,9.683333333,2.778682209,,35,32,,0.2638,0.055,0.171,792,0.75,54.6,36.582,0.495059852,1.4,0.21,1.525,0.043,0.007,0.5,0.547160069,0.278829604
myyu,5.66,2.222,0.0329,35,32,6,0.2638,0.055,0.171,792,0.75,27.56,18.4652,0.629614584,1.4,0.21,1.525,0.043,0.007,0.5,0.294117647,0.235294118
myca,5,1.723,0.0254,35,32,4,0.2638,0.055,0.171,792,0.75,43.8,29.346,,1.4,0.21,1.525,0.043,0.007,0.5,,
tabr,19,3.2801626,,35,32,,0.2638,0.055,0.171,792,0.75,77.4,51.858,0.402275317,1.4,0.21,1.525,0.043,0.007,0.5,0.152,0.222
myci,5.8,2.397346291,,35,32,,0.2638,0.055,0.171,792,0.75,,,,1.4,0.21,1.525,0.043,0.007,0.5,0.527034483,0.265517241
myev,7.586868687,2.597155698,0.022177693,35,32,8,0.2638,0.055,0.171,792,0.75,40.2,26.934,0.347320565,1.4,0.21,1.525,0.043,0.007,0.5,0.522220743,0.219997337
myvo,8.596153846,2.690078268,0.118700571,35,32,5,0.2638,0.055,0.171,792,0.75,,,0.18232481,1.4,0.21,1.525,0.043,0.007,0.5,0.534809843,0.195100671
